2023-09-18 15:55:35,174 INFO    MainThread:502045 [wandb_setup.py:_flush():76] Current SDK version is 0.15.10
2023-09-18 15:55:35,175 INFO    MainThread:502045 [wandb_setup.py:_flush():76] Configure stats pid to 502045
2023-09-18 15:55:35,175 INFO    MainThread:502045 [wandb_setup.py:_flush():76] Loading settings from /home/a-150/.config/wandb/settings
2023-09-18 15:55:35,175 INFO    MainThread:502045 [wandb_setup.py:_flush():76] Loading settings from /home/a-150/work/finger-vein-quality-assessement/wandb/settings
2023-09-18 15:55:35,175 INFO    MainThread:502045 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-18 15:55:35,175 INFO    MainThread:502045 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-09-18 15:55:35,175 INFO    MainThread:502045 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': '/home/a-150/work/finger-vein-quality-assessement/train.py'}
2023-09-18 15:55:35,175 INFO    MainThread:502045 [wandb_init.py:_log_setup():524] Logging user logs to /home/a-150/work/finger-vein-quality-assessement/wandb/run-20230918_155535-0fhwovd2/logs/debug.log
2023-09-18 15:55:35,175 INFO    MainThread:502045 [wandb_init.py:_log_setup():525] Logging internal logs to /home/a-150/work/finger-vein-quality-assessement/wandb/run-20230918_155535-0fhwovd2/logs/debug-internal.log
2023-09-18 15:55:35,176 INFO    MainThread:502045 [wandb_init.py:init():564] calling init triggers
2023-09-18 15:55:35,176 INFO    MainThread:502045 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'architecture': 'grapher_12_conv_gelu_config', 'dataset': 'Internal.', 'epochs': 10000}
2023-09-18 15:55:35,176 INFO    MainThread:502045 [wandb_init.py:init():614] starting backend
2023-09-18 15:55:35,176 INFO    MainThread:502045 [wandb_init.py:init():618] setting up manager
2023-09-18 15:55:35,178 INFO    MainThread:502045 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-09-18 15:55:35,181 INFO    MainThread:502045 [wandb_init.py:init():624] backend started and connected
2023-09-18 15:55:35,185 INFO    MainThread:502045 [wandb_init.py:init():715] updated telemetry
2023-09-18 15:55:35,193 INFO    MainThread:502045 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2023-09-18 15:55:35,852 INFO    MainThread:502045 [wandb_run.py:_on_init():2220] communicating current version
2023-09-18 15:55:36,061 INFO    MainThread:502045 [wandb_run.py:_on_init():2229] got version response 
2023-09-18 15:55:36,061 INFO    MainThread:502045 [wandb_init.py:init():799] starting run threads in backend
2023-09-18 15:55:39,862 INFO    MainThread:502045 [wandb_run.py:_console_start():2199] atexit reg
2023-09-18 15:55:39,862 INFO    MainThread:502045 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-09-18 15:55:39,862 INFO    MainThread:502045 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-09-18 15:55:39,862 INFO    MainThread:502045 [wandb_run.py:_redirect():2144] Redirects installed.
2023-09-18 15:55:39,863 INFO    MainThread:502045 [wandb_init.py:init():840] run started, returning control to user process
2023-09-19 09:27:17,979 INFO    MainThread:502045 [wandb_run.py:_finish():1934] finishing run blazkowiz47/finger-vein-recognition/0fhwovd2
2023-09-19 09:27:17,980 INFO    MainThread:502045 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-09-19 09:27:17,980 INFO    MainThread:502045 [wandb_run.py:_restore():2151] restore
2023-09-19 09:27:17,981 INFO    MainThread:502045 [wandb_run.py:_restore():2157] restore done
2023-09-19 09:27:25,459 INFO    MainThread:502045 [wandb_run.py:_footer_history_summary_info():3557] rendering history
2023-09-19 09:27:25,459 INFO    MainThread:502045 [wandb_run.py:_footer_history_summary_info():3589] rendering summary
2023-09-19 09:27:25,464 INFO    MainThread:502045 [wandb_run.py:_footer_sync_info():3516] logging synced files
